dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma threshold (ours; PK-CCN),0.599669750972056,0.1318789502216924,0.6858630952380953,0.20321192322949558,0.2898879378167246,0.1179312807184667,0.3333356076015229,0.11131568228120056,1.3484996529364321,1.2858820173032723,0.5,0.25
ecoli,Menon et al. (2015; PK-CCN; accuracy),0.6668532697291806,0.03252219384153471,0.8427083333333334,0.041253715832594025,0.3429725479127616,0.13150310285203032,0.349779895728323,0.13251662800247163,1.3488295896719262,1.2205263792235257,0.5,0.25
ecoli,Menon et al. (2015; PK-CCN; F1 score),0.6497352036310995,0.10637008180609786,0.7587797619047618,0.17902634983303078,0.29812023228856394,0.13917953254322207,0.3256103619121329,0.13476561736337092,1.4326336516760418,1.4114317686505558,0.5,0.25
ecoli,Menon et al. (2015; CK-CCN; accuracy),0.64,0.030779350562554642,0.8056547619047618,0.06527009601511745,0.3240719300471079,0.10970440335684555,0.3433860114767269,0.11953935159895834,1.3803099360109938,1.3775770514895045,0.5,0.25
ecoli,Menon et al. (2015; CK-CCN; F1 score),0.6493460989997184,0.10432411092905321,0.765327380952381,0.17032514325913303,0.2944785645216882,0.1409670203318634,0.32172953449790964,0.1387873771032993,1.442777017992622,1.3375056737163757,0.5,0.25
ecoli,Menon et al. (2015; CU-CCN; accuracy),0.5345331505339498,0.03399083417638458,0.5928571428571429,0.09970343301730492,0.28833642712082824,0.05538136484037711,0.36780352724940724,0.05346973547142938,1.3021367110100968,1.1337749954119125,0.5,0.25
ecoli,Menon et al. (2015; CU-CCN; F1 score),0.25936459012408636,0.08943823380057198,0.16041666666666668,0.07194168768371535,0.1942802843054843,0.00881257665381926,0.32318481894854756,0.00901868580807012,1.1669186816635655,1.061575591941095,0.5,0.25
ecoli,Mithal et al. (2017; CU-CCN; G measure),0.4541025265591328,0.07443444709518546,0.37529761904761905,0.13267092605795927,0.21577821848880868,0.028417786223332128,0.3171308916319154,0.03515554049630223,1.1846257227909494,1.1845870654898563,0.5,0.25
ecoli,Yao et al. (2020; CU-CCN; accuracy),0.502499875,0.011179780870504592,0.48452380952380947,0.10579245061211263,0.25494521302694906,0.037733769823838074,0.3524050936829635,0.03803688641948218,1.170425514898534,1.0429129250612361,0.5,0.25
ecoli,default (accuracy),0.5,0.0,0.4836309523809524,0.10469344068971793,0.25560647887872245,0.03843976048116759,0.35371796317964627,0.03889140022629451,1.170425514898534,1.0429129250612361,0.5,0.25
