dataset,method,threshold,threshold_std,accuracy,accuracy_std,f1,f1_std,g,g_std,lima,lima_std,p_minus,p_plus
ecoli,Li \& Ma threshold (ours; PK-CCN),0.6048539002217856,0.11388326873276657,0.7147321428571429,0.19245156336402652,0.377866393077218,0.1156241799830883,0.4254720782051411,0.08534087279532904,1.9695630899134215,1.1959008709431203,0.5,0.1
ecoli,Menon et al. (2015; PK-CCN; accuracy),0.670892457014018,0.02141009181070909,0.8574404761904763,0.03882759585071533,0.46008744738062396,0.08655815760360397,0.4716757424942756,0.0850117631067617,2.206862435648047,1.159145586349744,0.5,0.1
ecoli,Menon et al. (2015; PK-CCN; F1 score),0.6628908825957125,0.07424341025360247,0.8026785714285714,0.11487072558269361,0.3916420827739747,0.10215879312092471,0.42052737193934764,0.08620402111187651,1.9865317257217914,1.2411884934727324,0.5,0.1
ecoli,Menon et al. (2015; CK-CCN; accuracy),0.7,1.8010195682678647e-16,0.8755952380952381,0.03557827065613239,0.43185027542370386,0.10396151668612273,0.4420432025067648,0.10242438410567516,2.151429825152079,1.1914565781431399,0.5,0.1
ecoli,Menon et al. (2015; CK-CCN; F1 score),0.6709663176791643,0.0673846578879632,0.80625,0.1019747910422744,0.37877708972133856,0.09569774393860611,0.40790656703069006,0.08217256533321644,1.9027553221718372,1.2477918092390212,0.5,0.1
ecoli,Menon et al. (2015; CU-CCN; accuracy),0.5556881326709638,0.026776647214882824,0.6401785714285715,0.08798075182928025,0.3347852651458938,0.05196953664833493,0.41884732740981834,0.04517866294918968,1.859738321564389,1.1975841343260374,0.5,0.1
ecoli,Menon et al. (2015; CU-CCN; F1 score),0.26554818604241065,0.08547493760727123,0.1630952380952381,0.06803635702031857,0.19823681315700595,0.01219695890370615,0.3298612856338595,0.010408695292841453,1.7019387152116476,1.0785046555373665,0.5,0.1
ecoli,Mithal et al. (2017; CU-CCN; G measure),0.48124495474028234,0.08786003022391281,0.42023809523809524,0.16200746779232053,0.2412443235845798,0.04321152450519504,0.3432046954486705,0.032047386668235874,1.6983618478247966,0.9534276361760464,0.5,0.1
ecoli,Yao et al. (2020; CU-CCN; accuracy),0.5000000000000001,0.0,0.4770833333333333,0.09569273922370523,0.26771296158630153,0.033620584208245874,0.3756500194586071,0.03126297417398649,1.6362884873514365,0.9749673534995437,0.5,0.1
ecoli,default (accuracy),0.5,0.0,0.4770833333333333,0.09569273922370523,0.26771296158630153,0.033620584208245874,0.3756500194586071,0.03126297417398649,1.6362884873514365,0.9749673534995437,0.5,0.1
